Bagged roses
2015,06,10,16000,16000,0
2015,06,11,16000,16000,0
2015,06,12,16000,16000,0
2015,06,13,16000,16000,0
2015,06,14,16000,16000,0
2015,06,15,16000,16000,0
2015,06,16,16000,16000,0
2015,06,17,16000,16000,0
2015,06,18,16000,16000,0
2015,06,19,16000,16000,0
2015,06,20,16000,16000,0
2015,06,21,16000,16000,0
2015,06,22,16000,16000,0
2015,06,23,16000,16000,0
2015,06,24,16000,16000,0
2015,06,25,16000,16000,0
2015,06,26,16000,16000,0
2015,06,27,16000,16000,0
2015,06,28,16000,16000,0
2015,06,29,16000,16000,0
2015,06,30,16000,16000,0
2015,07,01,16000,16000,0
2015,07,02,16000,16000,0
2015,07,03,16000,16000,0
2015,07,04,16000,16000,0
2015,07,05,16000,16000,0
2015,07,06,16000,16000,0
2015,07,07,16000,16000,0
2015,07,08,16000,16000,0
2015,07,09,16000,16000,0
2015,07,10,16000,16000,0
2015,07,11,16000,16000,0
2015,07,12,16000,16000,0
2015,07,13,16000,16000,0
2015,07,14,16000,16000,0
2015,07,15,16000,16000,0
2015,07,16,16000,16000,0
2015,07,17,16000,16000,0
2015,07,18,16000,16000,0
2015,07,19,16000,16000,0
2015,07,20,16000,16000,0
2015,07,21,16000,16000,0
2015,07,22,16000,16000,0
2015,07,23,16000,16000,0
2015,07,24,16000,16000,0
2015,07,25,16000,16000,0
2015,07,26,16000,16000,0
2015,07,27,16000,16000,0
2015,07,28,16000,16000,0
2015,07,29,16000,16000,0
2015,07,30,16000,16000,0
2015,07,31,16000,16000,2
2015,08,01,16000,16000,0
2015,08,02,16000,16000,0
2015,08,03,16000,16000,3
2015,08,04,16000,16000,2
2015,08,05,16000,16000,0
2015,08,06,16000,16000,1
2015,08,07,16000,16000,0
2015,08,08,16000,16000,10
2015,08,09,16000,16000,0
2015,08,10,16000,16000,2
2015,08,11,16000,16000,8
2015,08,12,16000,16000,4
2015,08,13,16000,16000,1
2015,08,14,16000,16000,5
2015,08,15,16000,16000,1
2015,08,16,16000,16000,2
2015,08,17,16000,16000,1
2015,08,18,16000,16000,4
2015,08,19,16000,16000,1
2015,08,20,16000,16000,6
2015,08,21,16000,16000,6
2015,08,22,16000,16000,8
2015,08,23,16000,16000,0
2015,08,24,16000,16000,2
2015,08,25,16000,16000,0
2015,08,26,16000,16000,6
2015,08,27,16000,16000,2
2015,08,28,16000,16000,2
2015,08,29,16000,16000,4
2015,08,30,16000,16000,3
2015,08,31,16000,16000,2
2015,09,01,16000,16000,2
2015,09,02,16000,16000,3
2015,09,03,16000,16000,1
2015,09,04,16000,16000,7
2015,09,05,16000,16000,0
2015,09,06,16000,16000,2
2015,09,07,16000,16000,7
2015,09,08,16000,16000,1
2015,09,09,16000,16000,0
2015,09,10,16000,16000,2
2015,09,11,16000,16000,2
2015,09,12,16000,16000,2
2015,09,13,16000,16000,0
2015,09,14,16000,16000,2
2015,09,15,16000,16000,8
2015,09,16,16000,16000,5
2015,09,17,16000,16000,17
2015,09,18,16000,16000,10
2015,09,19,16000,16000,6
2015,09,20,16000,16000,3
2015,09,21,16000,16000,5
2015,09,22,16000,16000,4
2015,09,23,16000,16000,1
2015,09,24,16000,16000,3
2015,09,25,16000,16000,8
2015,09,26,16000,16000,2
2015,09,27,16000,16000,0
2015,09,28,16000,16000,8
2015,09,29,16000,16000,5
2015,09,30,16000,16000,0
2015,10,01,16000,16000,3
2015,10,02,16000,16000,18
2015,10,03,16000,16000,1
2015,10,04,16000,16000,0
2015,10,05,16000,16000,7
2015,10,06,16000,16000,2
2015,10,07,16000,16000,3
2015,10,08,16000,16000,6
2015,10,09,16000,16000,3
2015,10,10,16000,16000,0
2015,10,11,16000,16000,3
2015,10,12,16000,16000,15
2015,10,13,16000,16000,10
2015,10,14,16000,16000,0
2015,10,15,16000,16000,7
2015,10,16,16000,16000,9
2015,10,17,16000,16000,2
2015,10,18,16000,16000,9
2015,10,19,16000,16000,6
2015,10,20,16000,16000,7
2015,10,21,16000,16000,0
2015,10,22,16000,16000,0
2015,10,23,16000,16000,1
2015,10,24,16000,16000,1
2015,10,25,16000,16000,6
2015,10,26,16000,16000,3
2015,10,27,16000,16000,2
2015,10,28,16000,16000,11
2015,10,29,16000,16000,3
2015,10,30,16000,16000,2
2015,10,31,16000,16000,0
2015,11,01,16000,16000,2
2015,11,02,16000,16000,2
2015,11,03,16000,16000,1
2015,11,04,16000,16000,0
2015,11,05,16000,16000,38
2015,11,06,16000,16000,8
2015,11,07,16000,16000,7
2015,11,08,16000,16000,1
2015,11,09,16000,16000,2
2015,11,10,16000,16000,8
2015,11,11,16000,16000,0
2015,11,12,16000,16000,6
2015,11,13,16000,16000,10
2015,11,14,16000,16000,0
2015,11,15,16000,16000,0
2015,11,16,16000,16000,9
2015,11,17,16000,16000,0
2015,11,18,16000,16000,0
2015,11,19,16000,16000,0
2015,11,20,16000,16000,7
2015,11,21,16000,16000,0
2015,11,22,16000,16000,2
2015,11,23,16000,16000,4
2015,11,24,16000,16000,7
2015,11,25,16000,16000,9
2015,11,26,16000,16000,2
2015,11,27,16000,16000,5
2015,11,28,16000,16000,3
2015,11,29,16000,16000,0
2015,11,30,16000,16000,1
2015,12,01,16000,16000,21
2015,12,02,16000,16000,1
2015,12,03,16000,16000,0
2015,12,04,16000,16000,14
2015,12,05,16000,16000,5
2015,12,06,16000,16000,0
2015,12,07,16000,16000,1
2015,12,08,16000,16000,3
2015,12,09,16000,16000,0
2015,12,10,16000,16000,0
2015,12,11,16000,16000,1
2015,12,12,16000,16000,5
2015,12,13,16000,16000,1
2015,12,14,16000,16000,0
2015,12,15,16000,16000,3
2015,12,16,16000,16000,0
2015,12,17,16000,16000,1
2015,12,18,16000,16000,3
2015,12,19,16000,16000,6
2015,12,20,16000,16000,5
2015,12,21,16000,16000,0
2015,12,22,16000,16000,5
2015,12,23,16000,16000,27
2015,12,24,16000,16000,4
2015,12,25,16000,16000,7
2015,12,26,16000,16000,1
2015,12,27,16000,16000,14
2015,12,28,16000,16000,0
2015,12,29,16000,16000,6
2015,12,30,16000,16000,1
2015,12,31,16000,16000,2
2016,01,01,16000,16000,2
2016,01,02,16000,16000,1
2016,01,03,16000,16000,8
2016,01,04,16000,16000,2
2016,01,05,16000,16000,2
2016,01,06,16000,16000,8
2016,01,07,16000,16000,5
2016,01,08,16000,16000,0
