Iron spear(p)
2015,06,08,1000,1000,0
2015,06,09,1000,1000,0
2015,06,10,1000,1000,0
2015,06,11,1000,1000,0
2015,06,12,1000,1000,0
2015,06,13,1000,1000,0
2015,06,14,1000,1000,0
2015,06,15,1000,1000,0
2015,06,16,1000,1000,0
2015,06,17,1000,1000,0
2015,06,18,1000,1000,0
2015,06,19,1000,1000,0
2015,06,20,1000,1000,0
2015,06,21,1000,1000,0
2015,06,22,1000,1000,0
2015,06,23,1000,1000,0
2015,06,24,1000,1000,0
2015,06,25,1000,1000,0
2015,06,26,1000,1000,0
2015,06,27,1000,1000,0
2015,06,28,1000,1000,0
2015,06,29,1000,1000,0
2015,06,30,1000,1000,0
2015,07,01,1000,1000,0
2015,07,02,1000,1000,0
2015,07,03,1000,1000,0
2015,07,04,1000,1000,0
2015,07,05,1000,1000,0
2015,07,06,1000,1000,0
2015,07,07,1000,1000,0
2015,07,08,1000,1000,0
2015,07,09,1000,1000,0
2015,07,10,1000,1000,0
2015,07,11,1000,1000,0
2015,07,12,1000,1000,0
2015,07,13,1000,1000,0
2015,07,14,1000,1000,0
2015,07,15,1000,1000,0
2015,07,16,1000,1000,0
2015,07,17,1000,1000,0
2015,07,18,1000,1000,0
2015,07,19,1000,1000,0
2015,07,20,1000,1000,0
2015,07,21,1000,1000,0
2015,07,22,1000,1000,0
2015,07,23,1000,1000,0
2015,07,24,1000,1000,0
2015,07,25,1000,1000,0
2015,07,26,1000,1000,0
2015,07,27,1000,1000,0
2015,07,28,1000,1000,0
2015,07,29,1000,1000,0
2015,07,30,1000,1000,0
2015,07,31,1000,1000,0
2015,08,01,1000,1000,0
2015,08,02,1000,1000,0
2015,08,03,1000,1000,0
2015,08,04,1000,1000,0
2015,08,05,1000,1000,0
2015,08,06,1000,1000,0
2015,08,07,1000,1000,0
2015,08,08,1000,1000,0
2015,08,09,1000,1000,0
2015,08,10,1000,1000,0
2015,08,11,1000,1000,0
2015,08,12,1000,1000,0
2015,08,13,1000,1000,0
2015,08,14,1000,1000,0
2015,08,15,1000,1000,0
2015,08,16,1000,1000,0
2015,08,17,1000,1000,0
2015,08,18,1000,1000,0
2015,08,19,1000,1000,0
2015,08,20,1000,1000,0
2015,08,21,1000,1000,0
2015,08,22,1000,1000,0
2015,08,23,1000,1000,0
2015,08,24,1000,1000,0
2015,08,25,1000,1000,0
2015,08,26,1000,1000,0
2015,08,27,1000,1000,0
2015,08,28,1000,1000,0
2015,08,29,1000,1000,0
2015,08,30,1000,1000,0
2015,08,31,1000,1000,0
2015,09,01,1000,1000,0
2015,09,02,1000,1000,0
2015,09,03,1000,1000,0
2015,09,04,1000,1000,0
2015,09,05,1000,1000,0
2015,09,06,1000,1000,0
2015,09,07,1000,1000,0
2015,09,08,1000,1000,0
2015,09,09,1000,1000,0
2015,09,10,1000,1000,0
2015,09,11,1000,1000,0
2015,09,12,1000,1000,0
2015,09,13,1000,1000,0
2015,09,14,1000,1000,0
2015,09,15,1000,1000,0
2015,09,16,1000,1000,0
2015,09,17,1000,1000,0
2015,09,18,1000,1000,0
2015,09,19,1000,1000,0
2015,09,20,1000,1000,0
2015,09,21,1000,1000,0
2015,09,22,1000,1000,0
2015,09,23,1000,1000,0
2015,09,24,1000,1000,0
2015,09,25,1000,1000,0
2015,09,26,1000,1000,0
2015,09,27,1000,1000,0
2015,09,28,1000,1000,0
2015,09,29,1000,1000,0
2015,09,30,1000,1000,0
2015,10,01,1000,1000,0
2015,10,02,1000,1000,0
2015,10,03,1000,1000,0
2015,10,04,1000,1000,0
2015,10,05,1000,1000,0
2015,10,06,1000,1000,0
2015,10,07,1000,1000,0
2015,10,08,1000,1000,0
2015,10,09,1000,1000,0
2015,10,10,1000,1000,0
2015,10,11,1000,1000,0
2015,10,12,1000,1000,0
2015,10,13,1000,1000,0
2015,10,14,1000,1000,0
2015,10,15,1000,1000,0
2015,10,16,1000,1000,0
2015,10,17,1000,1000,0
2015,10,18,1000,1000,0
2015,10,19,1000,1000,0
2015,10,20,1000,1000,0
2015,10,21,1000,1000,0
2015,10,22,1000,1000,0
2015,10,23,1000,1000,0
2015,10,24,1000,1000,0
2015,10,25,1000,1000,0
2015,10,26,1000,1000,0
2015,10,27,1000,1000,0
2015,10,28,1000,1000,0
2015,10,29,1000,1000,0
2015,10,30,1000,1000,0
2015,10,31,1000,1000,0
2015,11,01,1000,1000,0
2015,11,02,1000,1000,0
2015,11,03,1000,1000,0
2015,11,04,1000,1000,0
2015,11,05,1000,1000,0
2015,11,06,1000,1000,0
2015,11,07,1000,1000,0
2015,11,08,1000,1000,0
2015,11,09,1000,1000,0
2015,11,10,1000,1000,0
2015,11,11,1000,1000,0
2015,11,12,1000,1000,0
2015,11,13,1000,1000,0
2015,11,14,1000,1000,0
2015,11,15,1000,1000,0
2015,11,16,1000,1000,0
2015,11,17,1000,1000,0
2015,11,18,1000,1000,0
2015,11,19,1000,1000,0
2015,11,20,1000,1000,0
2015,11,21,1000,1000,0
2015,11,22,1000,1000,0
2015,11,23,1000,1000,0
2015,11,24,1000,1000,0
2015,11,25,1000,1000,0
2015,11,26,1000,1000,0
2015,11,27,1000,1000,0
2015,11,28,1000,1000,0
2015,11,29,1000,1000,0
2015,11,30,1000,1000,0
2015,12,01,1000,1000,0
2015,12,02,1000,1000,0
2015,12,03,1000,1000,0
2015,12,04,1000,1000,0
2015,12,05,1000,1000,0
2015,12,06,1000,1000,0
2015,12,07,1000,1000,0
2015,12,08,1000,1000,0
2015,12,09,1000,1000,0
2015,12,10,1000,1000,0
2015,12,11,1000,1000,0
2015,12,12,1000,1000,0
2015,12,13,1000,1000,0
2015,12,14,1000,1000,0
2015,12,15,1000,1000,0
2015,12,16,1000,1000,0
2015,12,17,1000,1000,0
2015,12,18,1000,1000,0
2015,12,19,1000,1000,0
2015,12,20,1000,1000,0
2015,12,21,1000,1000,0
2015,12,22,1000,1000,0
2015,12,23,1000,1000,0
2015,12,24,1000,1000,0
2015,12,25,1000,1000,0
2015,12,26,1000,1000,0
2015,12,27,1000,1000,0
2015,12,28,1000,1000,0
2015,12,29,1000,1000,0
2015,12,30,1000,1000,0
2015,12,31,1000,1000,0
2016,01,01,1000,1000,0
2016,01,02,1000,1000,0
2016,01,03,1000,1000,0
2016,01,04,1000,1000,0
2016,01,05,1000,1000,0
2016,01,06,1000,1000,0
2016,01,07,1000,1000,0
2016,01,08,1000,1000,0
